name,rank,year,genre,duration,rating,url,runtime_min,decade
The Wolf of Wall Street,127,2013,"Biography, Comedy, Crime",3h,8.2,https://www.imdb.com/title/tt0993846/,180.0,2010
The Truman Show,128,1998,"Comedy, Drama",1h 43m,8.2,https://www.imdb.com/title/tt0120382/,103.0,1990
Green Book,129,2018,"Biography, Comedy, Drama",2h 10m,8.2,https://www.imdb.com/title/tt6966692/,130.0,2010
Hamilton,130,2020,"Biography, Drama, History",2h 40m,8.3,https://www.imdb.com/title/tt8503618/,160.0,2020
Batman Begins,131,2005,"Action, Crime, Drama",2h 20m,8.2,https://www.imdb.com/title/tt0372784/,140.0,2000
Judgment at Nuremberg,132,1961,"Drama, History, War",2h 59m,8.3,https://www.imdb.com/title/tt0055031/,179.0,1960
Shutter Island,133,2010,"Drama, Mystery, Thriller",2h 18m,8.2,https://www.imdb.com/title/tt1130884/,138.0,2010
Taxi Driver,134,1976,"Crime, Drama",1h 54m,8.2,https://www.imdb.com/title/tt0075314/,114.0,1970
Per qualche dollaro in più,135,1965,"Drama, Western",2h 12m,8.2,https://www.imdb.com/title/tt0059578/,132.0,1960
Some Like It Hot,136,1959,"Comedy, Music, Romance",2h 1m,8.2,https://www.imdb.com/title/tt0053291/,121.0,1950
Jurassic Park,137,1993,"Action, Adventure, Sci-Fi",2h 7m,8.2,https://www.imdb.com/title/tt0107290/,127.0,1990
There Will Be Blood,138,2007,Drama,2h 38m,8.2,https://www.imdb.com/title/tt0469494/,158.0,2000
The Kid,139,1921,"Comedy, Drama, Family",1h 8m,8.2,https://www.imdb.com/title/tt0012349/,68.0,1920
The Father,140,2020,"Drama, Mystery",1h 37m,8.2,https://www.imdb.com/title/tt10272386/,97.0,2020
All About Eve,141,1950,Drama,2h 18m,8.2,https://www.imdb.com/title/tt0042192/,138.0,1950
The Sixth Sense,142,1999,"Drama, Mystery, Thriller",1h 47m,8.2,https://www.imdb.com/title/tt0167404/,107.0,1990
Ran,143,1985,"Action, Drama, War",2h 40m,8.2,https://www.imdb.com/title/tt0089881/,160.0,1980
Casino,144,1995,"Crime, Drama",2h 58m,8.2,https://www.imdb.com/title/tt0112641/,178.0,1990
No Country for Old Men,145,2007,"Crime, Drama, Thriller",2h 2m,8.2,https://www.imdb.com/title/tt0477348/,122.0,2000
The Thing,146,1982,"Horror, Mystery, Sci-Fi",1h 49m,8.2,https://www.imdb.com/title/tt0084787/,109.0,1980
Hababam Sinifi: Sinifta Kaldi,147,1975,Comedy,1h 35m,8.6,https://www.imdb.com/title/tt0252488/,95.0,1970
Top Gun: Maverick,148,2022,"Action, Drama",2h 10m,8.2,https://www.imdb.com/title/tt1745960/,130.0,2020
El laberinto del fauno,149,2006,"Drama, Fantasy, War",1h 58m,8.2,https://www.imdb.com/title/tt0457430/,118.0,2000
Unforgiven,150,1992,"Drama, Western",2h 10m,8.2,https://www.imdb.com/title/tt0105695/,130.0,1990
Prisoners,151,2013,"Crime, Drama, Mystery",2h 33m,8.2,https://www.imdb.com/title/tt1392214/,153.0,2010
Kill Bill: Vol. 1,152,2003,"Action, Crime, Thriller",1h 51m,8.2,https://www.imdb.com/title/tt0266697/,111.0,2000
A Beautiful Mind,153,2001,"Biography, Drama, Mystery",2h 15m,8.2,https://www.imdb.com/title/tt0268978/,135.0,2000
The Treasure of the Sierra Madre,154,1948,"Adventure, Drama, Western",2h 6m,8.2,https://www.imdb.com/title/tt0040897/,126.0,1940
Hauru no ugoku shiro,155,2004,"Animation, Adventure, Family",1h 59m,8.2,https://www.imdb.com/title/tt0347149/,119.0,2000
Finding Nemo,156,2003,"Animation, Adventure, Comedy",1h 40m,8.2,https://www.imdb.com/title/tt0266543/,100.0,2000
Yôjinbô,157,1961,"Action, Drama, Thriller",1h 50m,8.2,https://www.imdb.com/title/tt0055630/,110.0,1960
The Great Escape,158,1963,"Adventure, Drama, Thriller",2h 52m,8.2,https://www.imdb.com/title/tt0057115/,172.0,1960
Monty Python and the Holy Grail,159,1975,"Adventure, Comedy, Fantasy",1h 31m,8.2,https://www.imdb.com/title/tt0071853/,91.0,1970
La meglio gioventù,160,2003,"Drama, Romance",6h 14m,8.4,https://www.imdb.com/title/tt0346336/,374.0,2000
The Elephant Man,161,1980,"Biography, Drama",2h 4m,8.2,https://www.imdb.com/title/tt0080678/,124.0,1980
Klaus,162,2019,"Animation, Adventure, Comedy",1h 36m,8.2,https://www.imdb.com/title/tt4729430/,96.0,2010
Dial M for Murder,163,1954,"Crime, Drama, Mystery",1h 45m,8.2,https://www.imdb.com/title/tt0046912/,105.0,1950
