name,rank,year,genre,duration,rating,url,runtime_min,decade
Eternal Sunshine of the Spotless Mind,96,2004,Romance,1h 48m,8.3,https://www.imdb.com/title/tt0338013/,108.0,2000
Eternal Sunshine of the Spotless Mind,96,2004,Sci-Fi,1h 48m,8.3,https://www.imdb.com/title/tt0338013/,108.0,2000
Incendies,97,2010,Drama,2h 11m,8.3,https://www.imdb.com/title/tt1255953/,131.0,2010
Incendies,97,2010,Mystery,2h 11m,8.3,https://www.imdb.com/title/tt1255953/,131.0,2010
Incendies,97,2010,War,2h 11m,8.3,https://www.imdb.com/title/tt1255953/,131.0,2010
The Apartment,98,1960,Comedy,2h 5m,8.3,https://www.imdb.com/title/tt0053604/,125.0,1960
The Apartment,98,1960,Drama,2h 5m,8.3,https://www.imdb.com/title/tt0053604/,125.0,1960
The Apartment,98,1960,Romance,2h 5m,8.3,https://www.imdb.com/title/tt0053604/,125.0,1960
Lawrence of Arabia,99,1962,Adventure,3h 47m,8.3,https://www.imdb.com/title/tt0056172/,227.0,1960
Lawrence of Arabia,99,1962,Biography,3h 47m,8.3,https://www.imdb.com/title/tt0056172/,227.0,1960
Lawrence of Arabia,99,1962,Drama,3h 47m,8.3,https://www.imdb.com/title/tt0056172/,227.0,1960
2001: A Space Odyssey,100,1968,Adventure,2h 29m,8.3,https://www.imdb.com/title/tt0062622/,149.0,1960
2001: A Space Odyssey,100,1968,Sci-Fi,2h 29m,8.3,https://www.imdb.com/title/tt0062622/,149.0,1960
Reservoir Dogs,101,1992,Crime,1h 39m,8.3,https://www.imdb.com/title/tt0105236/,99.0,1990
Reservoir Dogs,101,1992,Thriller,1h 39m,8.3,https://www.imdb.com/title/tt0105236/,99.0,1990
Scarface,102,1983,Crime,2h 50m,8.3,https://www.imdb.com/title/tt0086250/,170.0,1980
Scarface,102,1983,Drama,2h 50m,8.3,https://www.imdb.com/title/tt0086250/,170.0,1980
Heat,103,1995,Action,2h 50m,8.3,https://www.imdb.com/title/tt0113277/,170.0,1990
Heat,103,1995,Crime,2h 50m,8.3,https://www.imdb.com/title/tt0113277/,170.0,1990
Heat,103,1995,Drama,2h 50m,8.3,https://www.imdb.com/title/tt0113277/,170.0,1990
Double Indemnity,104,1944,Crime,1h 47m,8.3,https://www.imdb.com/title/tt0036775/,107.0,1940
Double Indemnity,104,1944,Drama,1h 47m,8.3,https://www.imdb.com/title/tt0036775/,107.0,1940
Double Indemnity,104,1944,Film-Noir,1h 47m,8.3,https://www.imdb.com/title/tt0036775/,107.0,1940
Up,105,2009,Animation,1h 36m,8.3,https://www.imdb.com/title/tt1049413/,96.0,2000
Up,105,2009,Adventure,1h 36m,8.3,https://www.imdb.com/title/tt1049413/,96.0,2000
Up,105,2009,Comedy,1h 36m,8.3,https://www.imdb.com/title/tt1049413/,96.0,2000
North by Northwest,106,1959,Adventure,2h 16m,8.3,https://www.imdb.com/title/tt0053125/,136.0,1950
North by Northwest,106,1959,Drama,2h 16m,8.3,https://www.imdb.com/title/tt0053125/,136.0,1950
North by Northwest,106,1959,Mystery,2h 16m,8.3,https://www.imdb.com/title/tt0053125/,136.0,1950
M - Eine Stadt sucht einen Mörder,107,1931,Crime,1h 39m,8.3,https://www.imdb.com/title/tt0022100/,99.0,1930
M - Eine Stadt sucht einen Mörder,107,1931,Mystery,1h 39m,8.3,https://www.imdb.com/title/tt0022100/,99.0,1930
M - Eine Stadt sucht einen Mörder,107,1931,Thriller,1h 39m,8.3,https://www.imdb.com/title/tt0022100/,99.0,1930
Full Metal Jacket,108,1987,Drama,1h 56m,8.2,https://www.imdb.com/title/tt0093058/,116.0,1980
Full Metal Jacket,108,1987,War,1h 56m,8.2,https://www.imdb.com/title/tt0093058/,116.0,1980
Taare Zameen Par,109,2007,Drama,2h 42m,8.3,https://www.imdb.com/title/tt0986264/,162.0,2000
Taare Zameen Par,109,2007,Family,2h 42m,8.3,https://www.imdb.com/title/tt0986264/,162.0,2000
Citizen Kane,110,1941,Drama,1h 59m,8.2,https://www.imdb.com/title/tt0033467/,119.0,1940
Citizen Kane,110,1941,Mystery,1h 59m,8.2,https://www.imdb.com/title/tt0033467/,119.0,1940
Le fabuleux destin d&apos;Amélie Poulain,111,2001,Comedy,2h 2m,8.3,https://www.imdb.com/title/tt0211915/,122.0,2000
Le fabuleux destin d&apos;Amélie Poulain,111,2001,Romance,2h 2m,8.3,https://www.imdb.com/title/tt0211915/,122.0,2000
Vertigo,112,1958,Mystery,2h 8m,8.2,https://www.imdb.com/title/tt0052357/,128.0,1950
Vertigo,112,1958,Romance,2h 8m,8.2,https://www.imdb.com/title/tt0052357/,128.0,1950
Vertigo,112,1958,Thriller,2h 8m,8.2,https://www.imdb.com/title/tt0052357/,128.0,1950
Jodaeiye Nader az Simin,113,2011,Drama,2h 3m,8.3,https://www.imdb.com/title/tt1832382/,123.0,2010
Die Hard,114,1988,Action,2h 12m,8.2,https://www.imdb.com/title/tt0095016/,132.0,1980
Die Hard,114,1988,Thriller,2h 12m,8.2,https://www.imdb.com/title/tt0095016/,132.0,1980
To Kill a Mockingbird,115,1962,Crime,2h 9m,8.3,https://www.imdb.com/title/tt0056592/,129.0,1960
To Kill a Mockingbird,115,1962,Drama,2h 9m,8.3,https://www.imdb.com/title/tt0056592/,129.0,1960
The Sting,116,1973,Comedy,2h 9m,8.2,https://www.imdb.com/title/tt0070735/,129.0,1970
The Sting,116,1973,Crime,2h 9m,8.2,https://www.imdb.com/title/tt0070735/,129.0,1970
